data,ticker,preco_fechamento_ajustado,volume_negociado,m_6,dy
2019-11-30,CEDO3,8.0,0.0,78669202.0,0.0
2019-12-31,CEDO3,9.0,900.0,88626273.0,0.0
2020-01-31,CEDO3,12.85,0.0,108108744.0,0.0
2020-02-29,CEDO3,9.0,0.0,83947017.0,0.0
2020-03-31,CEDO3,9.0,0.0,73257706.0,0.0
2020-04-30,CEDO3,7.39,3844.0,61150099.0,0.0
2020-05-31,CEDO3,9.68,6349.0,77954187.0,0.0
2020-06-30,CEDO3,13.8,12275.0,109409313.0,0.0
2020-07-31,CEDO3,11.0,0.0,89823389.0,0.0
2020-08-31,CEDO3,11.21,0.0,88102711.0,0.0
2020-09-30,CEDO3,8.9,890.0,73846077.0,0.0
2020-10-31,CEDO3,11.0,8839.0,90681968.0,0.0
2020-11-30,CEDO3,10.63,59270.0,87067826.0,0.0
2020-12-31,CEDO3,11.54,65295.0,90028985.0,0.0
2021-01-31,CEDO3,11.99,96788.0,91395171.0,0.0
2021-02-28,CEDO3,11.0,20791.0,85401706.0,0.0
2021-03-31,CEDO3,10.48,35881.0,83206733.0,0.0
2021-04-30,CEDO3,10.74,72587.0,87051673.0,0.0
2021-05-31,CEDO3,10.0,11093.0,84073356.0,0.0
2021-06-30,CEDO3,10.15,11127.0,90982405.0,0.0
2021-07-31,CEDO3,9.2,26415.0,84702077.0,0.0
2021-08-31,CEDO3,8.55,9326.0,75411694.0,0.0
2021-09-30,CEDO3,7.35,27248.0,66588437.0,0.0
2021-10-31,CEDO3,7.05,4906.0,66507607.0,0.0
2021-11-30,CEDO3,7.0,2101.0,64891454.0,0.0
2021-12-31,CEDO3,7.19,0.0,62498558.0,0.0
2022-01-31,CEDO3,7.0,0.0,63517727.0,0.0
2022-02-28,CEDO3,7.0,0.0,62745006.0,0.0
2022-03-31,CEDO3,6.77,4050.0,60616722.0,0.0
2022-04-30,CEDO3,6.98,0.0,60827847.0,0.0
2022-05-31,CEDO3,6.9,690.0,58611192.0,0.0
2022-06-30,CEDO3,6.72,0.0,58141989.0,0.0
2022-07-31,CEDO3,6.4,1280.0,56101071.0,0.0
2022-08-31,CEDO3,6.15,40590.0,53729858.0,0.0
2022-09-30,CEDO3,6.0,0.0,52101071.0,0.0
2022-10-31,CEDO3,5.45,0.0,49176809.0,0.0
2022-11-30,CEDO3,6.09,0.0,52314208.0,0.0
2022-12-31,CEDO3,6.35,0.0,52724831.0,0.0
